
EscoLogs (RADMIR)
Инвентарь
Информация

Vladislav Marvin
Параметры поиска
ID предмета / Название предмета
ID предмета	Название предмета
0	Деньги
1	Канистра
2	Аптечка
3	Мёртвый олень
4	Буксировочный трос
5	Огнетушитель
6	Мешок с деньгами
7	Нож
8	Бита
9	Катана
10	Бензопила
11	Коктейль Молотова
12	Glock 19
13	Электрошокер
14	Remington 870
15	Обрез
16	Сайга-12
17	ОЦ-14 Гроза
18	АКС-74У
19	Desert Eagle
20	HK416
21	АКМ
22	AWM
23	РПГ
24	Гранаты
25	Наркотики
26	Патроны
27	Металл
28	Контрабанда
29	Отмычка
30	Ящик с патронами
31	Кастет
32	Дубинка
33	Двойной дилдо
34	Малый дилдо
35	Вибратор
36	Вибратор 2
37	Цветы
38	Топор
39	Камера
40	Парашют
41	Предмет интерьера
42	MSR
43	Слезоточивый газ
44	Ремонтный комплект
45	Взрывпакет
46	Детонатор
47	Обычный нож
48	Позолоченный нож
49	Рог изобилия
50	Картина с пейзажем
51	Картина с пятнами
52	Мушкет
53	Позолоченный мушкет
54	Старый телефон
55	Оленьи рога
56	Статуэтка (человек)
57	Стутуэтка (мамонт)
58	Статуэтка (луна)
59	Самурайский меч
60	Настольная лампа
61	Кувшин
62	Корона
63	Золотая корона
64	Шкатулка из дерева
65	Шкатулка с позолотой
66	Гитара
67	Рокерская гитара
68	Холодильник
69	Холодильник (черный)
70	Микроволновка
71	Стиральная машинка
72	Утюг
73	Утюг
74	Ноутбук
75	Сломанный ноутбук
76	Смартфон
77	Телевизор
78	Разбитый телевизор
79	Пылесос
80	XBOX ONE
81	PS4
82	Большая плазма
83	Коробка с микрофоном
84	Музыкальный центр
85	Комплект одежды
86	Комплект одежды
87	Комплект одежды
88	Комплект одежды
89	Комплект одежды
90	Комплект одежды
91	Кепка Radmir
92	Серая бандана
93	Темная бандана
94	Ченая бандана
95	Зеленая бандана
96	Сумка с ремнем
97	Портфель
98	Куфия
99	Автомобильный номер
100	Одежда
101	Слезоточивые гранаты
102	Ящик с патронами
103	Сломанный банкомат
104	Старое сиденье
105	Черное сиденье
106	Гоночное сиденье
107	Телефон Brick 3310
108	Телефон Brick
109	Телефон Galaxy
110	Телефон Orange
111	Золотой рубль
112	Золотые два рубля
113	Золотой червонец
114	Золотые пятьдесят
115	Системный блок
116	Отмычки
117	Руль ВАЗ 2101
118	Руль Nissan GTR
119	Руль Mercedes AMG
120	Старый сейф
121	Сломанный проигрывател
122	Диски
123	Ноутбук Apple
124	Металлолом
125	Лопата
126	Батарейки типа AA
127	Металлоискатель BHJ
128	Металлоискатель GA250
129	Мёртвая утка
130	Надувная лодка
131	Свисток на уток
132	Удочка
133	Улов
134	Кусочки хлеба
135	Лягушка
136	Кузнечик
137	Рецепт отмычки
138	Тряпка
139	Дерево
140	Бутылка
141	Шприц
142	Бинт
143	Жгут
144	Порох
145	Крахмал
146	Прицел
147	Глушитель
148	Сломанный Orange
149	Запчасти к Orange
150	Запчасти к ноутбуку
151	Печатная машинка
152	Запчасти к печ.машинке
153	Инструменты
154	Сварка
155	Колесо
156	Аккумулятор
157	Рецепт кастета
158	Рецепт обреза
159	Рецепт глюкозы
160	Рецепт печ.машинки
161	Бутылка
162	Солярка
163	Часы с кор.ремешком
164	Часы с белым ремешком
165	Моторное масло
166	Воздушный фильтр
167	Масляный фильтр
168	Лейка
169	Марихуана
170	Огурцы
171	Помидоры
172	Семена марихуаны
173	Семена томата
174	Семена огурцов
175	Самокрутка из марихуан
176	Кристаллы
177	Ящик с материалами
178	Болторезы
179	Материалы
180	Сабвуфер
181	Очки
182	Бандана
183	Маска
184	Берет
185	Шляпа
186	Бочка
187	Химия
188	Двигатель
189	Старый руль AMG
190	Запчасти к рулю AMG
191	Лобовое стекло
192	Спутник
193	Кристалл (красный)
194	Кристалл (фиолетовый)
195	Кристалл (зеленый)
196	Кристалл (синий)
197	Мини Волгa
198	Мини ВАЗ 2109
199	Мини RAF 2203
200	Гироскутер
201	Бинокль
202	Телескоп
203	Комиксы (Spider Man)
204	Комиксы (Ninja)
205	Комиксы (Bakugan)
206	Клавиатура RGB
207	Клавиатура
208	Шахматы
209	Зонтик раскладной
210	Зонтик
211	Пирамидка
212	Самокат
213	Фигурка пришельца
214	Фигурка пони
215	PSP
216	Анаболики
217	Противорвотное
218	Запчасти к двигателю
219	Сумка
220	Ремень
221	Аксессуар на руку
222	Рюкзак
223	Самовар
224	Фаберже
225	Часы
226	Граммофон
227	Кресло
228	Чайник
229	Статуя
230	Проигрыватель
231	Глобус
232	Печат.машинка
233	Поп-ит
234	Брелок с поп-ит
235	Маска Гая-Фокса
236	Красный нож
237	Цветной нож
238	Золотой кастет
239	Поп-ит
240	Поп-ит
241	Стиральный порошок
242	Рем.комплект для машин
243	Адские билеты
244	Ёлочные украшения
245	Снегоуборочная машина
246	Украшение на шею
247	Наполненная лейка
248	Животное
249	Будка для животных
250	Корм для животных
251	Коробок спичек
252	Жареная рыба
253	Нелегальная продукция
254	Аппарат для диагностики
255	Маска
256	Автосигнализация
257	Лоттерейный билет
258	Кейс `Форсаж`
259	Ключ от кейса
260	Аксессуар на шею
261	Кейс `Темные дела`
262	Книга рецептов
263	Плащ
264	Растение (одуванчик)
265	Растение (крапива)
266	Растение (валериана)
267	Растение (пещерный гриб)
268	Плоть монстра
269	Эликсир здоровья
270	Эликсир силы
271	Эликсир выносливости
272	Кейс `Велесова ночь`
273	Эликсир точности
274	Зеленые кристаллы
275	Аксесуар на левое плечо
276	Тауметр
277	Бронежилет
278	Кейс `Оперской`
279	Балончик с краской
280	Напиток
281	Трап
282	Лекарство
283	Грелка
284	Кейс `Новогодний`
285	Украшение для Т/С
286	Бутылки
287	Крылья
288	Ценная бумага
289	Посох
290	Кейс `Черное золото`
291	Аксессуар на спину
292	Аксессуар на ногу
293	Фишка
294	Нож для свежевания
295	Шкура оленя
296	Шкура медведя
297	Шкура заяца
298	Шкура кабана
299	Животный жир
300	Кейс `Охотничий`
301	Игровая консоль
302	Виниловая пластинка
303	Запчасти проигрывателя
304	Сломанный сабвуфер
305	Запчасти сабвуфера
306	Сломанный металлоискатель
307	Запчасти металлоискателя
308	Полотно для лопаты
309	Черенок для лопаты
310	Сломанный аппарата диагностики
311	Запчасти аппарата диагностики
312	Корпус наручных часов
313	Ремешок наручных часов
314	Механизм наручных часов
315	Стекло наручных часов
316	Мешочек для драгоценностей
317	Кроссовки
318	Футболка
319	Джинсы
320	Золотые серьги
321	Бриллиант
322	Проигрыватель
323	Бронепластина
324	Скейтборд
325	Леска
326	Наживка
327	Осетровая икра
328	Кейс `Египетская сила`
329	Золотой череп
330	Древняя табличка
331	Канистра для воды
332	Рецепт для пошива
333	Известь
334	Гербицид
335	Удобрение
336	Семена
337	Урожай
338	Эликсир бесшумности
339	Эликсир регенерации
340	Эликсир устойчивости
341	Эликсир удачи
342	Планшет
343	Растение (клевер)
344	Кейс `Велесова ночь 2`
345	Шкура белого медведя
346	Растение (мох)
347	Мандаринки
348	Кейс `Рождественский экспресс`
349	Обручальное кольцо
350	Кейс `Путь воина`
351	Сигареты
352	Глушилка
353	Заточка
354	Чертеж тюнинга Mansory
355	Кейс `Пиратский`
356	Кейс `Проклятие`
357	Киберкредиты
358	Чертёж тюнинга Spooky
359	Ледяные механизмы
360	Кейс `Зимняя сказка`
361	Домкрат
362	Патроны (9x19)
363	Патроны (.44 Magnum)
364	Патроны (.338 Magnum)
365	Патроны (12x70)
366	Патроны (5.45x39)
367	Патроны (5.56x45)
368	Патроны (7.62x39)
369	Болгарка
370	Чертёж крафта болгарки
371	Бомба
372	Светошумовая граната
373	Сертификат
374	Украденная техника
375	Лом
376	Устройство взлома замка
377	Глушитель для сигнализации
378	Белый порошок
379	Обезбол
380	Ящик с медикаментами
381	Медикаменты
382	Кислота
383	Ацетон
384	Псевоэфедрин
385	Кейс `Бандитский`
386	Кейс `Клоунский`
387	Кейс `Мандаринка`
388	Петух
389	Кошка
390	Лежак для кошки
391	Компостное удобрение
392	Торфяное удобрение
393	Семена картофеля
394	Семена свёклы
395	Семена перца
396	Семена баклажана
397	Семена капусты
398	Семена моркови
399	Картофель
400	Свёкла
401	Перец
402	Баклажан
403	Капуста
404	Морковь
405	Енот
